,This review is about...,data privacy,security features,app installation,registration,loading speed,feature accessibility,ads,maintenance,transaction speed,transaction approval,transaction legitimacy,transaction fees,transaction flexibility,customer service,user friendliness,loan interest,savings interest,leniency,user incentives
102,"maintenance, customer service",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
103,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,registration ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"transaction speed, loan interest",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
109,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,leniency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,"user friendliness, feature accessibility, savings interest",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
113,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,"registration, user friendliness, savings interest",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
115,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,transaction fees,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,"user friendliness, customer service",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
120,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,"transaction speed, transaction approval",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
123,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,user incentives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,"security features, customer service",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,"user friendliness, feature accessibility",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
138,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,ads,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,"transanction flexibility, customer service",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,leniency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"transaction speed, transaction fees",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
147,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"loan interest, leniency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
149,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,user friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"transaction legitimacy, transaction speed, transaction flexibility, leniency, user friendliness, loan interest",0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
153,"user friendliness, transaction approval",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
154,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
161,"user friendliness, transaction flexibility",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
162,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,transaction approval,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164,"user friendliness, transaction speed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
165,data privacy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"leniency, customer service, loan interest",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
167,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"transaction legitimacy, transaction speed, customer service",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
171,user friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,user friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
177,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
178,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"transaction flexibility, transaction fee",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180,"registration, user friendliness ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
181,data privacy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
183,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
188,"loan interest, leniency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
189,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
190,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"user friendliness, savings interest, user incentives, feature accessibility, transaction flexibility",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
192,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
195,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
196,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,"transaction legitimacy, user friendliness",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
200,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202,"registration, loan interest, leniency, customer service",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
203,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,"loading speed, feature accessibility",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"transaction speed, user friendliness, transaction flexibility",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
206,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
207,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,"loan interest, transaction speed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
209,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,"loan interest, transaction legitimacy",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
214,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
216,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
217,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
218,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
223,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,"user friendliness, transaction speed",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
226,"loan interest, feature accessibility",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
227,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
230,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
231,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
232,"user friendliness, loan interest",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
233,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
234,"transaction speed, customer service",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
235,"transaction speed, loan interest",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
236,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
237,security features,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,"transaction fees, savings interest",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
239,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
240,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
241,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,"transaction speed, transaction approval, customer service",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
243,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,"user friendliness, transaction flexibility",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
245,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
247,"transaction speed, leniency",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
248,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
251,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
252,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
253,data privacy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,"transaction speed, loan interest, transaction fees",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
255,"customer service, transaction legitimacy",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
256,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
257,user friendly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
259,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
260,transaction fees,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
261,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
262,transaction legitimacy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
263,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
265,"transaction legitimacy, customer service, loan interest",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
266,"transaction flexibility, transaction legitimacy",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
267,"user friendliness, loading speed",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
268,"transaction flexibility, customer service",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
269,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,"transaction speed, transaction fees",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
272,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
273,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
274,app installation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
276,"app installation, feature accessibility, transaction flexibility, loading speed",0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
277,customer service,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
278,"loading speed, transaction speed, transaction approval",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
279,user friendliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
280,loading speed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,registration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,"transaction speed, loan interest",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
283,transaction speed,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
284,feature accessibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,loan interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
286,user incentives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
287,transaction flexibility,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
288,"registration, customer service",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
