google translate review_text_value,review_text,review_rating,review_likes,application_id,review_datetime_utc,constructive,constructive_review,This review is about...
Awesome! Easy and Useful App,Awesome! Easy and Useful App,5,0,com.mocasa.ph,2023-08-20 17:13:34,1,1,"user friendliness,  transaction flexibility"
very easy to use,very easy to use,5,0,com.plentina.app,2022-04-18 12:37:35,1,1,user friendliness
"Gonna give 0 stars if there is. Loan keeps on declining even if you're a good payer. JuanHand will release your information to other loan platforms then you'll receive a bunch of text messages. Their cs is not knowledgeable about their product, cs is rude and takes a very long time to respond.","Gonna give 0 star if there is. Loan keeps on declining even you're a good payer. JuanHand will release your information to other loan platform then you'll receive bunch of text messages. Their cs is not knowledgeable about their product, cs is rude and very long time to response.",1,0,com.juanhand.fast.cash.peso.loan.app,2023-09-17 20:47:52,1,1,leniency
easy and efficient,madali at mahusay,5,0,com.abs.pesobuffet.android,2023-09-21 00:16:36,1,1,user friendliness
"Give my son a loan to go to school, fast and convenient, solve major life problems, absolutely good software, a loan platform, and a powerful loan application that is more convenient than other loans. Loan review is faster.","Give my son a loan to go to school, fast and convenient, solve major life problems, absolutely good software, a loan platform, and a powerful loan application that is more convenient than other loans. Loan review is faster.",5,0,com.peramoo,2023-07-13 22:44:00,1,1,transaction speed
"By far, my experience with this app is so smooth. After filling out the application form, I got a call right away from one of their reps and she's so professional. She set an appointment for me to meet up with one of their field reps for some contract signing or q&a maybe for approval purposes. Anyways, hopefully I get approved as I need some funds lately. But overall, I have a very good impression with this company.","By far, my experience with this app is so smooth. After filling out the application form, I get a call right away from one of their reps and she's so professional. She set an appointment for me to meet up with one of their feild reps for some contract signing or q&a maybe for approval purposes. Anyways, hopefully I get approved as I need some funds lately. But overall, I have a very good impression with this company.",5,33,io.breezeventures.mb,2023-04-03 12:19:32,1,1,"transaction speed, customer service"
"One star for your so poor and disappointing customer service. Chatbox says it's available 24/7 but wasn't able to attend to messages quickly. I've been calling the 24/7 hotline non-stop since morning, but nobody's answering. You should improve your heldesk/custcare service since your business is related to finances. Will never recommend this app.","One star for your so poor and disappointing customer service. Chatbox says it's available 24/7 but wasn't able to attend to messages quickly. I've been calling the 24/7 hotline non-stop since morning , but nobody's answering. You should improve your heldesk/custcare service since your business is related to finances. Will never recommend this app.",1,31,ph.com.gotyme,2023-06-16 15:19:50,1,1,customer service 
In many occasions the app gives an error that the internet connection is weak and won't let me login. This is a bug you need to fix as I am on fiber connection and it is actually fast (75Mbps). Even tried with a different ISP and still gives that error.,In many occasion the app gives an error that internet connection is weak and wont let me login. This is a bug you need to fix as I am on fiber connection and it is actually fast (75Mbps) . Even tried with a different ISP and still gives that error.,3,1,ph.com.psbankonline,2019-10-17 16:28:16,1,1,loading speed
Do I really need to have a personal bank account in order to create an online account for my credit card? Come on! Your system is outdated. You gave me a credit card without owning a bank account with you. Then I'm not allowed to create an online account without it? How come other banks allow their credit card holders to create their own online account without enrolling in a personal bank account,Do I really need to have personal bank account in order to create online account for my credit card? Oh come on! Your system is outdated. You gave me credit card without own bank account with you. Then I'm not allowed to create online account without it? How come other banks allows their credit card holder to create their own online account without enrolling to personal bank account,1,0,com.rcbc.mobilebanking,2022-03-05 03:51:57,1,1,security features
Used this paying my bills and it sure did a great thing but REPAYING is a different story.You need to inform them your payment has not reflected on your account not to mention I once waited almost an hour for an agent with no luck and tried to complain about it along with their cellular numbers that is not working but guess what I think he just dissed me off by saying have a great day!So I ended my chat and just made a review here!Every payment is a nightmare but I know you guys CAN FIX this!,Used this paying my bills and it sure did a great thing but REPAYING is a different story.You need to inform them your payment has not reflected on your account not to mention I once waited almost an hour for an agent with no luck and tried to complain about it along with their cellular numbers that is not working but guess what I think he just dissed me off by saying have a great day!So I ended my chat and just made a review here!Every payment is a nightmare but I know you guys CAN FIX this!,3,0,ph.billeasev2.mobile,2023-10-03 02:57:15,1,1,transaction speed
ok cya.. fast and easy to use..,ok cya.. mabilis at madali g gamitin..,5,0,com.plentina.app,2022-03-02 08:30:47,1,1,"user friendliness, transaction speed"
"Do not try these apps, it's a scam","Do not try this apps, it's a scam",1,0,com.valley.loan,2023-08-26 23:29:22,1,1,transaction legitimacy
Super easy and convenient to use this application highly recommended for savings.,Super easy and convinient to use this application highly recommended for savings.,5,1,ph.com.gotyme,2023-06-30 15:34:12,1,1,user friendliness
it is always DOWN! NOW I HAVE TO UNINSTALL IT AND INSTALL IT. hope the developers will work something about it. Maybe also improve the UI. I have 2 bank acc in one iaccess and sending money makes it a little confusing.,it is always DOWN! NOW I HAVE TO UNINSTALL IT AND INSTALL IT. hope the developers will work something about it. Maybe also improve the Ui. I have 2 bank acc in one iaccess and sending money make it little confusing.,1,0,com.landbank.mobilebanking,2023-08-28 01:56:41,1,1,"app installation, user friendliness"
I HATE this app! The previous one is better. My transactions often fail. What a waste of my time!,I HATE this app! The previous one is better. My transactions often fail. What a waste of my time!,1,0,ph.com.bdo.retail,2023-09-21 15:43:54,1,1,transaction approval
"This software can, quite powerful, reliable and convenient!","This software can, quite powerful, reliable and convenient!",5,0,com.liang.chan,2023-08-15 15:12:53,1,1,user friendliness
"Applying for a loan was easy, but the deductions from your total loan are too much. Aside from that, their agents are too aggressive and send you threatening messages even if you have not yet passed your due date when they are asking for payment. I'm not recommending this app anymore. Agents are rude, disrespectful, aggressive & threatening! It's not worth it for a few bucks that you are asking.","Applying for a loan was easy, but the deductions from your total loan are too much. Aside from that, their agents are too aggressive and sent you threatening messages even if you re not yet past your due date when they are asking for payment. I'm not recommending this app anymore. Agents are rude,disrespectful,aggressive &threatening! It's not worth it for a few bucks that you are asking.",1,1,com.valley.loan,2023-08-06 04:38:58,1,1,leniency
while u sleep u Earn easy to use and my partner in my work thank you Sea bank,while u sleep u Earn easy to use and my partner in my work thank you Sea bank,5,0,ph.seabank.seabank,2023-05-12 14:02:27,1,1,savings interest
Fast loan when you need it congrats and continue..helping people..,Fast loan when you need it congrats and continue..helping people..,5,0,com.wow.pera,2023-10-08 14:17:58,1,1,transaction speed
I like how fast I can send money.. straightforward app.. easy to use.,I like how fast I can send money.. straightforward app.. easy to use.,5,1,ph.com.gotyme,2023-05-26 12:44:36,1,1,transaction speed
"I already have a fully verified account, then if I add another account it is always a service error. Please do something about it.","I already have a fully verified account, then if i add other account it is always service error. Please do something about it.",1,0,com.rcbc.mobilebanking,2022-01-06 09:37:27,1,1,security features
It's fast and easy to loan..thank you,It's fast and easy to loan..thank you,5,0,hb.xinxinxr.vip,2023-07-19 06:29:05,1,1,transaction speed
high interest and short period of payment. agents are so rude.,high interest and short period of payment. agents are so rude.,1,0,com.pesoloan,2023-09-20 09:27:32,1,1,"loan interest, leniency, customer service"
Very high interest rate and service charges! Rude customer service! Rude agents! Even though you reply to their numbers they will still text your contacts and tell them that you are not responding!,Very high interest rate and service charges! Rude customer servce! Rude agents! Even though you reply to their numbers they will still text your contacts and tell them that you are not responding!,1,12,com.valley.loan,2023-08-16 10:30:57,1,1,"loan interest, customer service"
"I hope they have option for automatic request for closing CCs since their Customer Supports are always busy, always receiving calls later.","I hope they have option for automatic request for closing CCs since their Customer Supports are always busy, always receiving call later.",3,0,com.citibank.CitibankPH,2022-02-17 04:58:26,1,1,customer service
"Hi! Excuse me?? I never installed your app so why did someone text me saying I borrowed your app?? I'm still being threatened??? you lending apps, when you have loans from other people, don't charge the other people. you are really disturbing. I don't know where to send a concern.",Hi! Excuse me?? Never akong nag install ng app niyo so bakit may nag tetext sakin na humiram daw ako sa app niyo?? Binabantaan pa ako??? kayong mga lending app kapag may mga hiram sainyo ibang tao wag yung ibang tao ang singilin niyo. nakakaistorbo kayo sa totoo lang. Hindi ko alam saan ako mag sesend ng concern eh.,1,0,tech.codeblock.okpeso,2023-07-23 14:16:07,1,1,data privacy
Very good apps..easy to fill out the form.i hope approved.,Very good apps..easy to fill out the form.i hope approved.,5,0,com.peramoo,2023-07-16 07:46:39,1,1,user friendliness
There is no problem with the app. It is slow when the internet connection is very slow.,There is no problem with the app. It is slow when the internet connection is very slow.,4,0,ph.com.metrobank.mcc.mbonline,2023-09-21 11:26:55,1,1,loading speed
"Kevin Ecunar... lemon loan is good for me, for those who want to get a loan, I will recommend it to my friends and it makes processing easier.. thanks for lemon loan",Kevin Ecunar... lemon loan para sa akin maganda cia para sa mga gusto mag loan ireremonenda ko sa mga Kaibigan ko ito at nkapadali Ng processing.. salamat sa lemon loan,4,0,com.liang.chan,2023-09-23 06:23:10,1,1,transaction speed
"This is by far the best banking app for me. Has the lowest transfer fee compared to others, user friendly, and offers various features for users. Thank you for approving my credit card application. You're the best ☺️👌","This is by far the best banking app for me. Has lowest transfer fee compared to others, user friendly, and offers various features for users. Thank you for approving my credit card application. You're the best ☺️👌",5,9,com.unionbankph.online,2023-09-26 02:19:06,1,1,"transaction fees, user friendliness, feature accessibility"
"I never want to give a negative review but I think this app really deserves 1 star. It never sent me an OTP so I never got the chance to log in. No issues with BDO Online Banking (very convenient but app should've been more convenient) so the problem is really with this app. I uninstalled BDO Digital Banking since for now, it's useless. I hope you'll fix the issues including generating OTP. Once it's fixed, I'd never hesitate to change my review to 5 stars.","I never want to give negative review but I think this app really deserves 1 star. It never sent me an OTP so I never get the chance to log in. No issues with BDO Online Banking (very convenient but app should've been more convenient) so the problem is really with this app. I uninstalled BDO Digital Banking since for now, it's useless. I hope you'll fix the issues including generating OTP. Once it's fixed, I'd never hesitate to change my review to 5 stars.",1,0,www.mobile.bdo.com.ph,2023-08-30 05:06:45,1,1,security features
scam platform... always declined my application,scam flatform... always declined my application,1,0,com.valley.loan,2023-07-17 07:13:41,1,1,transaction approval
So far so good and super low interest compared to others. But I hope there is an option to pay it just 1 month instead of 2 months,So far so good and super mababa ang interest compared to others. Pero sana may option to pay it just 1 month instead of 2 months,5,0,ph.billeasev2.mobile,2023-09-28 00:24:34,1,1,"loan interest, leniency"
"Hi there UDB, Pls add feature a list station of the favorite external bank account, user can initiate auto scheduling money transfer /to via instapay and pesonet 😍","Hi there UDB, Pls add feature a list station of the favorite external bank account, user can initiate auto scheduling money transfer /to via instapay and pesonet 😍",5,0,com.iexceed.unoConsumerBanking,2023-04-17 08:15:42,1,1,transaction flexibility
"Your approach should not be like that. Once there is a record of them, as if you are still applying. Khit did not proceed because the interest rate was too high.","Dapat hindi ganyan ang approach ninyo. Once may record kna sa knila, as if tuloy pa rin application mo. Khit hindi naman nag proceed dahil sa sobra taas ng interest.",1,0,ph.zippeso.online.cash.loan,2023-09-04 02:13:27,1,1,loan interest
"Such a good reliable loan app, the agents are respectful & accommodating. They will talk to you in a nice manner, help & suggest an easy way to pay for the loan. Especially the agent namely Thea Theresa, such kind & professional in handling person, salute to her. 5 stars are not enough for this app, if there is more higher than 5 stars, I will rate it.","Such a good reliable loan app, the agents are respectful & accommodating. They will talk to u in a nice manner, help & suggest an easy way to pay for the loan. Specially the agent namely Thea Theresa, such kind & professional in handling person, salute to her. 5stars are not enough for this app, if there is more high than 5stars,i will rate it.",5,0,com.liang.chan,2023-09-26 00:15:02,1,1,customer service
very good for not rooted device...,very good for not rooted device...,5,0,com.fronde.mbanking.android.pckg.bpi,2019-03-08 21:18:43,1,1,security features
"I cant open my go tyme app since the last update, it says, ""this app cant open because the environment is not secure and your data may be at risk."" I don't know why that happens. Im using POCO F3 mobile.","I cant open my go tyme app since the last update, it says, "" this app cant open because the enviroment is not secure and your data may be at risk."" i dont know why that happen. Im using POCO F3 mobile.",1,8,ph.com.gotyme,2023-04-25 11:56:13,1,1,"app installation, security features"
Easy and fast,Easy and Fast,5,1,com.plentina.app,2021-08-25 07:44:28,1,1,user friendliness
Your personal information will be leaked to different loan sharks and they also have high interest.,Your personal information will be leaked to different loan sharks and they also have high interest.,1,0,com.juanhand.fast.cash.peso.loan.app,2023-10-05 12:09:47,1,1,"data privacy, loan interest"
"The app seems so friendly, fun and secure at the same time.","The app seems so friendly, fun and secure at the same time.",5,0,com.tonik.mobile,2023-08-10 06:39:58,1,1,user friendliness
Smooth transaction,Smooth transaction,5,0,com.aub.hellopagibig,2022-08-25 22:23:30,1,1,transaction speed
easy access for us,easy access for us,4,0,com.valley.loan,2023-09-03 13:01:23,1,1,feature accessibility
Very helpful and always answer any query....,Very helpful and always answer any quiry....,5,0,com.cimbph.app2022,2023-06-15 00:42:14,1,1,customer service
"So far it's okay, I haven't encountered any problem opening an account.",So far okay naman wala ako na encounter na problem sa pag open ng account.,5,0,com.iexceed.unoConsumerBanking,2023-04-14 21:00:03,1,1,registration
Hi! Why is my card unable to pay Themes for Samsung Note 8? It says that the card issuer declined this payment? Why?!!!,Hi! Why does my card unable to pay Themes for Samsung Note 8? It says that the card issuer declined this payment? Why?!!!,4,0,ph.com.psbankonline,2017-12-19 06:57:14,1,1,transaction approval
"Good day ma'am/sir update for a new version is not working it has always been loading for a long time please fix this issue to start using your services, Thanks.","Good day ma'am/sir update for a new version is not working it always been loading for a long time please fix this issue to start using your services, Thanks.",5,3,com.plentina.app,2021-10-22 13:47:42,1,1,app installation
Fix your app.. iBang transactions can't be seen.. it will take a while to update the transactions..,Ayusin nyo app nyo..Hindi Makita ung iBang transactions..antagal pa magupdate Ng mga transactions..,3,0,com.unionbankph.online,2023-09-14 21:57:29,1,1,"feature accessibility, transaction speed"
Easy to do banking transactions,Easy to do bankint transactions,5,0,com.cimbph.app2022,2023-06-04 12:14:09,1,1,transaction speed
"Easy and fast, no hassle","Easy and fast, no hassle",5,0,ph.loanpeso.fast,2023-08-22 23:09:53,1,1,"user friendliness, transaction speed"
"Recently every time I try opening the app using fingerprint won't work, even user name and passwords failed until my account was locked. Have to change passwords 10x, SMH and super annoying. Please fix it!","Recently everytime I try opening the app using fingerprint won't work, even user name and passwords failed until my account was locked. Have to change passwords 10x, SMH and super annoying. Please fix it!",1,0,www.mobile.bdo.com.ph,2023-08-05 16:35:21,1,1,security features
"I can't even log in to this app. I got my new card yesterday, downloaded the app, got multiple error messages that they are unable to process the request and try again later. Every time I try to log in, it says I must activate the online acct first. I put in the activation code which they sent me and the error message. It is frustrating. I called cust svc this afternoon, we got nowhere. I sent an email to them and got a cut and paste type of response. Nothing is being done.","I cant even log in to this app. I got my new card yesterday, downloaded the app, got multiple error messages that they are unable to process the request and try again later. Everytime i try to log in, it says i must activate the online acct first. I put in the activation code which they send me and the error message. It is frustrating. I called cust svc this afternoon, we got nowhere. I sent an email to them and got a cut and paste type of response. Nothing is being done.",1,0,ph.com.psbankonline,2017-05-16 10:24:23,1,1,registration
Great loaning app super fast,Great loaning app super fast,5,0,ph.moneycat,2023-10-07 03:54:01,1,1,transaction speed
It's a waste of time in this app that auto rejects..,Sayang oras dito sa app na to auto reject..,1,0,ph.onlineloans.mobile.android,2023-09-29 05:11:20,1,1,transaction approval
Beware everyone. This app is a total scam. I paid twice but still unclear with balance. They'll just blockmail you if you don't pay again. This time I have my proof of everything.,Beware everyone. This app is a total scam. I paid twice but still uncleared with balance. They'll just blockmail you if you don't pay again. This time I have my proof of everything.,1,1,com.abs.pesobuffet.android,2023-09-29 13:13:03,1,1,transaction legitimacy
"Worst app ever. Always have some issues, I downloaded this over a month ago and I just used it 2 times due to system issues.","Worst app ever. Always have some issues, I downloaded this over a month ago ang I just used it 2 times due to system issues.",1,0,ph.com.metrobank.mcc.mbonline,2023-09-15 00:42:47,1,1,loading speed
ALWAYS SYSTEM MAINTENANCE,ALWAYS SYSTEM MAINTENANCE,1,0,com.securitybank.online,2023-02-12 01:03:26,1,1,maintenance
I did not complete the process of registration. But its been days that different agents kept on txting me. I already ask to stop and to remove my name. But still same harassment on sms.,I did not complete the process of registration. But its been days that different agents kept on txting me. I already ask to stop and to remove my name. But still same harassment on sms.,1,0,com.liang.chan,2023-07-29 08:43:47,1,1,"registration, customer service"
The app is easy to use but there are some loopholes because it was almost a month before my number was amended in the app because the Customer Service did not have access to the amendment and then it took the assigned branch to understand. It would be better if their CS also has access to the amendment itself so that it can be quickly fixed when the user changes the sim card number since there is money involved luckily in my case because the money is not needed right away.,The app is easy to use pere there are some loopholes dahil halos one month bago na-amend ang aking number sa app kasi walang access ang Customer Service sa amendment tapos ang tagal intindihin ng branch na naka-assign. It would be better if meron na ring access ang CS nila sa mismong amendment para mabilis na maayos kapag nagpalit ng sim card number ang user since may perang involved luckily in my case kasi hindi need yong pera agad-agad.,4,1,com.dwidasa.cb.mb.android,2023-04-27 09:54:10,1,1,"user friendliness, registration, customer service"
Easy and fast transaction,Easy and fast transaction,5,1,ph.com.gotyme,2023-06-06 01:44:30,1,1,"user friendliness, transaction speed"
"Worst bank. Don't invest your money in this bank. Customer service sucks. App slow. If there's zero rate, definitely I'll give you a negative rating. Frustrating.","Worst bank. Don't invest your money in this bank. Customer service sucks. App slow. If there's zero rate, definitely I'll give you negative rating. Frustrating.",1,0,com.rcbc.mobilebanking,2023-03-29 01:35:32,1,1,"loading speed, customer service"
Super convenient and almost everything is here,Super convenient and almost everything is here,5,0,com.mocasa.ph,2022-08-24 17:56:34,1,1,"transaction flexibility, feature accessibility"
"very good app, you can buy now and pay later. very helpful especially in times of emergency.","very good app, you can buy now and pay later. very helpful especially in times of emergency.",5,3,com.plentina.app,2022-02-14 14:15:57,1,1,leniency
"Scam and fraudulent app,!! Do not Download this app.,after gathering your personal info they will auto declined your application!!","Scamm and fraudulent app,!! Do not Download this app.,after gathering your personal info they will auto declined your application!!",1,46,com.vip.pera,2023-06-28 11:26:32,1,1,"transaction legitimacy, transaction approval"
fast and affordable,fast and affordable,5,0,com.pesoloan,2023-09-07 09:34:14,1,1,transaction speed
"I cannot transact ,What happened to these apps?I've been trying for 2 days now,every time I open it it's says error or try again. It's annoying 😒 🙄 can you pls improve bdo. So frustrating and not convenient to use anymore.","I cannot transact ,What happen to this apps?I've been trying for 2 days now,every time I open it it's says error or try again. It's annoying 😒 🙄 can you pls improve bdo. So frustrating and not convenient to use anymore.",1,0,www.mobile.bdo.com.ph,2023-06-05 16:39:09,1,1,transaction approval
More convenient than any other apps... thank you...,More convenient than any other apps... thank you...,5,0,ph.onlineloans.mobile.android,2023-09-15 00:13:40,1,1,transaction flexibility
Download the app few days already.. I have been trying to register and after the otp is sent and I type it in. I always get the same error. Can not process your request try again. And it's been going on for a few days already.,Download the app few days already.. I have been trying to register and after the otp is sent and I type it in. I always get the same error. Can not process your request try again. And it's been going on for a few days already.,1,2,ph.com.psbankonline,2019-04-15 09:00:27,1,1,security features
Straight forward app than the latest app. Just work on your security fraud and convenience like easy 3rd party enrollment. Other than that.. PERFECT,Straight forward app than the latest app. Just work on your security fraud and convenience like easy 3rd party enrollment. Other than that.. PERFECT,5,0,com.fronde.mbanking.android.pckg.bpi,2018-11-30 12:10:23,1,1,"user friendliness, transaction flexibility"
Easy and convenient to use.,Easy and Comvenient to use.,3,0,com.dwidasa.cb.mb.android,2022-05-11 13:56:52,1,1,"user friendliness, transaction flexibility"
"It was 5 stars before but now I'll give you one star! Been a long time and loyal customer, never missed any payment and now you can't grant me a loan without giving me any valid reason? Good company value their customers!","It was 5 star before but now I'll give you one star! Been a long time and loyal customer, never missed any payment and now you can't grant me a loan without giving me any valid reason? Good company value their customer!",1,0,com.juanhand.fast.cash.peso.loan.app,2023-09-30 02:11:32,1,1,leniency
"the worths customer representatives! they will send you 10 messages every after an hour when you are due. and their approach is the worst approach, it seems like they were not trained in customer service manner.. it's like you stole, i was also missed the due dates, you borrow and then after 1 week you pay and the amount of his interest..","the worths costumer representatives! they will send you 10 messages every after an hour pag due ka. and their approach ay the worst approach parang hindi sila naturuan sa costumer service manner.. para kang nagnakaw, i was also missled sa due dates, hihiram ka tapos after 1 week ka pala magbayad and ang laki ng interest niya..",1,0,com.wow.pera,2023-09-04 08:51:21,1,1,leniency
User friendly. It's the online banking I could trust for. More power! 😍,User friendly. It's the online banking i could trust for. More power! 😍,5,0,com.cimbph.app2022,2023-07-21 14:35:10,1,1,user friendliness
Application crashes when I'm trying to pay my card.,Application crashes when I'm trying to pay my card.,2,0,com.securitybank.online,2022-12-15 00:18:34,1,1,transaction approval
"Unreliable and disappointing app, otp takes forever to receive.","Unreliable and disappointing app, otp takes forever to receive.",1,0,com.rcbc.mobilebanking,2023-02-13 09:16:34,1,1,"security features, transaction speed"
"Always have unknown, unforeseen, uninformed maintenance or lagging issue when you have to use it for money transfer during payday. Worst mobile banking ever. Customer service is hard to reach as well. No help available when you need them the most.","Always have unknown, unforseen, uninformed maintenance or lagging issue when you have to use it for money transfer during payday. Worst mobile banking ever. Customer service are hard to reach as well. No help available when you need them the most.",1,0,com.securitybank.online,2023-06-29 08:55:19,1,1,"maintenance, customer service"
So annoying this up. They are rude to talk to. There is still a fee to send a message.,So annoying this up. Bastos sila kausap. Bayad kana ngsend parin ng message.,1,0,com.peramoo,2023-08-01 03:11:38,1,1,customer service
